##[["FCS genome report", 2, 1], {"git-rev": "0.2.3-1-gd68d6a3", "run-date": "Wed Oct  5 09:58:40 2022", "db": {"build-date": "2022-07-09", "seqs": 3086610, "Gbp": 708.351}, "run-info": {"agg-cvg": 0.223, "asserted-div": "anml:insects", "primary-divs": ["anml:insects"]}}]
#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name
atg000524l_1	1	22770	22770	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Rhagoletis cerasi
atg000822l_1	95372	99936	338056	FIX	prok:high GC Gram+	50	Mycobacterium heraklionense
atg001156l_1	1	31207	31207	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Laodelphax striatellus
atg001207l_1	1	38599	38599	EXCLUDE	prok:a-proteobacteria	92	Wolbachia endosymbiont of Carposina sasakii
atg001449l_1	1	36332	36332	EXCLUDE	prok:a-proteobacteria	65	Wolbachia endosymbiont of Carposina sasakii
atg002429l_1	1	37574	37574	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Carposina sasakii
atg002444l_1	1	29967	29967	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Rhagoletis cerasi
atg002480l_1	1	31341	31341	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Rhagoletis cerasi
atg002528l_1	1	25889	25889	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Rhagoletis cerasi
atg002600l_1	1	6668	41829	TRIM	prok:a-proteobacteria	85	Wolbachia endosymbiont of Armadillidium vulgare
atg002626l_1	1	63549	63549	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
atg002716l_1	1	79387	79387	EXCLUDE	prok:a-proteobacteria	94	Wolbachia endosymbiont of Carposina sasakii
atg002734l_1	1	28244	28244	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Delia radicum
atg002903l_1	1	15818	15818	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Armadillidium vulgare
atg002938l_1	1	28975	28975	EXCLUDE	prok:a-proteobacteria	89	Wolbachia endosymbiont of Chrysomya megacephala
atg003124l_1	1	10641	10641	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Nasonia oneida
atg003251l_1	1	29759	29759	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Rhagoletis cerasi
atg003283l_1	1	15035	15035	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Chrysomya megacephala
atg003333l_1	1	10786	10786	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Delia radicum
atg003435l_1	1	24400	24400	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Drosophila santomea
atg003441l_1	1	9255	9255	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont of Carposina sasakii
atg003485l_1	1	12780	12780	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Delia radicum
atg003549l_1	1	32893	32893	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
atg003595l_1	1	13469	13469	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Chrysomya megacephala
atg003611l_1	1	28202	28202	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Laodelphax striatellus
atg003627l_1	1	17836	17836	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Carposina sasakii
atg003689l_1	1	8430	8430	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Carposina sasakii
