scaffold_120	Chondrichthyes
scaffold_54	Myxozoa (but has fish hits)
scaffold_55	Amphibia (but has fish hits)
scaffold_102	Amphibia (but has fish hits)
scaffold_121	Cladistia (but has reedfish hits)
scaffold_493	no-hit (would keep)
scaffold_482	no-hit (would keep)
scaffold_469	no-hit (would keep)
scaffold_405	no-hit (would keep)
scaffold_390	no-hit (would keep)
scaffold_370	no-hit (would keep)
scaffold_362	no-hit (would keep)
scaffold_320	no-hit (would keep)
scaffold_293	no-hit (would keep)
scaffold_272	no-hit (would keep)
scaffold_491	spurious insect hit
scaffold_490	no-hit (would keep)
scaffold_488	spurious flavobacterium hit
scaffold_487	no-hit (would keep)
scaffold_486	no-hit (would keep)
scaffold_485	no-hit (would keep)
scaffold_484	fish hits
scaffold_483	no-hit (would keep)
scaffold_481	no-hit (would keep)
scaffold_479	no-hit (would keep)
scaffold_477	no-hit (would keep)
scaffold_476	no-hit (would keep)

